longitude,latitude
30.494053,50.438709
30.493836,50.438594
30.493624,50.438475
30.49343,50.438345
30.493272,50.438197
30.493137,50.438039
30.493023,50.437874
30.492891,50.437716
30.492698,50.437585
30.492492,50.437462
30.492283,50.437341
30.492063,50.437229
30.491814,50.437145
30.491545,50.437091
30.491275,50.437037
30.491015,50.43697
30.490789,50.436867
30.49054,50.436785
30.490295,50.436695
30.49006,50.436596
30.489835,50.436487
30.489621,50.436371
30.489395,50.436263
30.489169,50.436155
30.488946,50.436045
30.48873,50.435929
30.488513,50.435814
30.488295,50.435699
30.488078,50.435584
30.487861,50.43547
30.487644,50.435354
30.487428,50.435239
30.48721,50.435124
30.486992,50.435009
30.486775,50.434895
30.486555,50.434782
30.486334,50.43467
30.486114,50.434557
30.485898,50.434442
30.485678,50.434329
30.485458,50.434216
30.485238,50.434104
30.485018,50.433991
30.484796,50.433879
30.484569,50.433773
30.484341,50.433667
30.484111,50.433562
30.483871,50.433468
30.483625,50.433379
30.483359,50.433321
30.483085,50.433276
30.482813,50.433229
30.482542,50.433179
30.482271,50.433129
30.481999,50.433078
30.481728,50.433028
30.481457,50.432977
30.481186,50.432927
30.480915,50.432877
30.480644,50.432827
30.480372,50.432778
30.4801,50.432729
30.479827,50.432684
30.479551,50.432647
30.479271,50.432624
30.478992,50.432598
30.478712,50.432573
30.478432,50.432548
30.478152,50.432525
30.477872,50.432502
30.477598,50.432485
30.477528,50.432659
30.477459,50.432833
30.477388,50.433007
30.477307,50.43318
30.477128,50.433278
30.477006,50.433431
30.476946,50.433607
30.476906,50.433778
30.477124,50.433892
30.477342,50.434006
30.477562,50.434119
30.477782,50.434232
30.478001,50.434345
30.478215,50.434463
30.478429,50.43458
30.478642,50.434698
30.478855,50.434816
30.478707,50.434944
30.478517,50.435077
30.478347,50.435219
30.478294,50.435363
30.478524,50.435467
30.478732,50.435552
30.478902,50.435409
30.479068,50.435263
30.479206,50.435142
30.47904,50.435288
30.478874,50.435433
30.478701,50.435565
30.478482,50.435451
30.478254,50.435346
30.478371,50.435193
30.47855,50.435054
30.478739,50.434921
30.478818,50.434796
30.478605,50.434678
30.478392,50.43456
30.478179,50.434442
30.477964,50.434326
30.477744,50.434213
30.477524,50.4341
30.477305,50.433986
30.477086,50.433872
30.476896,50.433752
30.476956,50.433577
30.477016,50.433401
30.477168,50.433261
30.477446,50.433284
30.477722,50.433323
30.477998,50.433361
30.478273,50.433399
30.47855,50.433436
30.478823,50.43348
30.479101,50.433513
30.479376,50.433554
30.479651,50.433594
30.479927,50.433633
30.480203,50.433671
30.480478,50.433712
30.480753,50.433752
30.481029,50.43379
30.481302,50.433836
30.481575,50.433883
30.481847,50.433931
30.482122,50.433972
30.482397,50.434013
30.482669,50.434059
30.482943,50.434105
30.483217,50.434148
30.483406,50.434226
30.483352,50.434402
30.483297,50.434579
30.48324,50.434755
30.483183,50.434931
30.483132,50.435108
30.48308,50.435285
30.483014,50.435459
30.482948,50.435634
30.482862,50.435805
30.482742,50.435968
30.482609,50.436126
30.482444,50.436271
30.482256,50.436405
30.482072,50.436541
30.481883,50.436675
30.481695,50.436809
30.481507,50.436943
30.481319,50.437078
30.481131,50.437212
30.480946,50.437348
30.480756,50.43748
30.48058,50.437621
30.480407,50.437763
30.480232,50.437904
30.480045,50.438038
30.479856,50.438172
30.479666,50.438305
30.479477,50.438438
30.479288,50.438572
30.479098,50.438705
30.478909,50.438839
30.478721,50.438973
30.478535,50.439108
30.478349,50.439244
30.478161,50.439378
30.478272,50.43952
30.478443,50.439663
30.478611,50.439808
30.478769,50.439957
30.478923,50.440107
30.479057,50.440266
30.479191,50.440424
30.47932,50.440584
30.479447,50.440745
30.479565,50.440908
30.479668,50.441075
30.479762,50.441245
30.479851,50.441415
30.479924,50.441589
30.479997,50.441763
30.48007,50.441937
30.480135,50.442112
30.480198,50.442287
30.480262,50.442462
30.480328,50.442637
30.480393,50.442812
30.480459,50.442987
30.480524,50.443162
30.480587,50.443337
30.480629,50.443515
30.48067,50.443693
30.480715,50.443871
30.480763,50.444048
30.480822,50.444224
30.480888,50.444399
30.480953,50.444574
30.481017,50.444749
30.481082,50.444924
30.481146,50.445099
30.481213,50.445274
30.481282,50.445448
30.481351,50.445623
30.481419,50.445797
30.481491,50.445971
30.481567,50.446144
30.481641,50.446318
30.48171,50.446492
30.481774,50.446667
30.481836,50.446843
30.481898,50.447018
30.481961,50.447193
30.482026,50.447368
30.482091,50.447543
30.482156,50.447719
30.482221,50.447894
30.482286,50.448069
30.482357,50.448242
30.482429,50.448416
30.4825,50.448591
30.482575,50.448764
30.482652,50.448937
30.482726,50.449111
30.4828,50.449284
30.48298,50.44941
30.483245,50.449376
30.483335,50.449213
30.483271,50.449038
30.483198,50.448864
30.48309,50.4487
30.482859,50.448601
30.482591,50.448613
30.482318,50.448661
30.482047,50.44871
30.481767,50.448736
30.481489,50.448767
30.481213,50.448803
30.48094,50.44885
30.480667,50.448896
30.480394,50.448942
30.480123,50.448992
30.479849,50.449037
30.479574,50.449079
30.4793,50.449121
30.479025,50.449162
30.47875,50.449204
30.478475,50.449245
30.4782,50.449286
30.477927,50.449332
30.477654,50.449377
30.47738,50.449422
30.477106,50.449467
30.476833,50.449511
30.476559,50.449556
30.476286,50.449601
30.476013,50.449647
30.47574,50.449693
30.475467,50.449739
30.475194,50.449786
30.474921,50.449832
30.474648,50.449879
30.474376,50.449926
30.474103,50.449973
30.473829,50.450018
30.473556,50.450063
30.473282,50.450107
30.473008,50.450151
30.472734,50.450195
30.47246,50.450239
30.472186,50.450283
30.471913,50.450327
30.471639,50.450372
30.471365,50.450416
30.471091,50.450461
30.470818,50.450505
30.470544,50.45055
30.47027,50.450594
30.469997,50.450639
30.469723,50.450683
30.469449,50.450728
30.469176,50.450773
30.468903,50.450819
30.46863,50.450866
30.468358,50.450913
30.468084,50.450957
30.46781,50.451001
30.467535,50.451043
30.467261,50.451085
30.466986,50.451128
30.466714,50.451176
30.466441,50.451222
30.466167,50.451267
30.465893,50.451311
30.465619,50.451354
30.465345,50.451397
30.46507,50.45144
30.464796,50.451483
30.464522,50.451526
30.464248,50.451569
30.463974,50.451613
30.4637,50.451657
30.463426,50.451701
30.463152,50.451745
30.462878,50.451789
30.462604,50.451833
30.46233,50.451877
30.462057,50.451921
30.461783,50.451965
30.461509,50.452009
30.461235,50.452053
30.460961,50.452097
30.460687,50.452141
30.460413,50.452185
30.460349,50.452317
30.460406,50.452493
30.460458,50.45267
30.460496,50.452848
30.460535,50.453026
30.460574,50.453205
30.460612,50.453383
30.460651,50.453561
30.460687,50.453739
30.460722,50.453918
30.460741,50.454097
30.460742,50.454277
30.460722,50.454456
30.460702,50.454636
30.460682,50.454815
30.460663,50.454994
30.460641,50.455174
30.460618,50.455353
30.460595,50.455532
30.460568,50.455711
30.46054,50.45589
30.460513,50.456069
30.460485,50.456248
30.460458,50.456427
30.460438,50.456607
30.460421,50.456786
30.460405,50.456966
30.460388,50.457145
30.460366,50.457325
30.46034,50.457504
30.460331,50.457684
